incident_num,defendant_id,arraignment_date,charge,num_charges,felony,expungable,any_bail,bail_amount,bail_types,num_conditions,did_not_appear,prior_appearences,gender,race,judge_id,arraignment_data
18BU025918,Defendant439,3/19/2019,Unlawful Mischief (Misdemeanor),1,0,1,0,0,No Bail,1,0,0,Male,White,Judge10,TRUE
19BU005428,Defendant1006,3/19/2019,Assault On A Law Enforcement Officer (Misdemeanor),1,0,0,0,0,No Bail,4,0,3,Female,White,Judge10,TRUE
19BU004419,Defendant118,3/19/2019,Unlawful Trespass (Misdemeanor),1,0,1,0,0,No Bail,1,0,3,Female,White,Judge10,TRUE
19BU005603,Defendant144,3/21/2019,Unlawful Trespass (Felony),2,1,0,0,0,No Bail,3,0,3,Male,Black,Judge10,TRUE
19BU005615,Defendant477,3/21/2019,Unlawful Trespass (Misdemeanor),2,0,1,0,0,No Bail,1,0,1,Male,White,Judge10,TRUE
19BU003483,Defendant55,3/21/2019,Retail Theft (Misd),1,0,1,1,200,Bail,1,1,1,Male,White,Judge10,TRUE
18BU027391,Defendant621,3/21/2019,Retail Theft (Misd),1,0,1,0,0,No Bail,3,0,3,Female,White,Judge10,TRUE
19BU002539,Defendant174,3/21/2019,Retail Theft (Misd),1,0,1,1,200,Bail,1,1,0,Female,White,Judge10,TRUE
19BU002158,Defendant247,3/21/2019,Driving Under The Influence; Second And Subsequent Offense,1,0,0,0,0,No Bail,4,0,0,Male,White,Judge10,TRUE
19BU004277,Defendant971,3/21/2019,Driving Under The Influence; Second And Subsequent Offense,1,0,0,0,0,No Bail,4,0,0,Male,White,Judge10,TRUE
19BU005150,Defendant322,3/21/2019,Aggravated Assault,2,1,0,0,0,No Bail,1,1,0,Male,White,Judge10,TRUE
19BU002272,Defendant635,3/21/2019,Retail Theft (Misd),1,0,1,1,200,Bail,1,1,1,Male,Black,Judge10,TRUE
18BU019830,Defendant483,3/21/2019,"Drugs - Cocaine, Possession  >2.5 Gm",1,1,0,0,0,No Bail,1,0,2,Male,Black,Judge10,TRUE
18BU019334,Defendant762,3/21/2019,Disorderly Conduct - All Other,1,0,1,0,0,No Bail,1,1,0,Male,White,Judge10,TRUE
19BU0038091,Defendant921,3/21/2019,Unlawful Trespass (Misdemeanor),2,0,1,0,0,No Bail,1,0,0,Male,White,Judge10,TRUE
